국립공원명,세부위치,위도,경도
지리산,무제치기 교 상단200m,35.34638888888889,127.75944444444444
지리산,삼거리 하단 500m,35.377500000000005,127.75944444444444
지리산,천왕봉 정상,35.336666666666666,127.75944444444444
지리산,천왕샘 하단 50m,35.33444444444444,127.73083333333334
지리산,내삼신봉 하단 10m,35.26083333333333,127.69694444444445
지리산,로타리대피소 상단 100m,35.32666666666667,127.73583333333333
지리산,소지봉 상단 망바위 1.3km,35.339444444444446,127.7088888888889
지리산,마당바위(추성 2.3km),35.37583333333333,127.69527777777778
지리산,첫나들이폭포,35.34583333333334,127.68166666666667
지리산,12-08지점 200m아래,35.308611111111105,127.63722222222223
지리산,의신옛길 입구 50m지점,35.263333333333335,127.64
지리산,불일탐방로 용추쌀바위,35.23777777777778,127.62944444444443
지리산,선비샘에서 300m,35.32027777777778,127.66361111111112
지리산,01-28지점,35.32555555555556,127.63694444444445
지리산,통천문 상단 150m,35.336111111111116,127.72833333333334
지리산,01-40지점,35.321111111111115,127.6863888888889
지리산,전망바위,35.33222222222223,127.7125
지리산,석실,35.363055555555555,127.58361111111111
지리산,용소,35.38861111111111,127.46111111111111
지리산,정상 전망대,35.29333333333333,127.53166666666667
지리산,하부 전망대,35.29333333333333,127.53138888888888
지리산,삼도봉 정상,35.308611111111105,127.57722222222222
경주,신선암 일원,35.771388888888886,129.23472222222222
경주,이무기능선 일원,35.769444444444446,129.22416666666666
계룡산,관음봉 정상 일원,36.35194444444445,127.20055555555555
계룡산,관음봉 하단 400,36.35333333333333,127.2025
계룡산,자연성능에서 금잔디 갈림길,36.36083333333333,127.20777777777778
계룡산,계룡 09-03 지점 일원,36.370555555555555,127.24388888888889
계룡산,계룡 09-04 지점 일원,36.36972222222222,127.24055555555556
한려해상,금산정상(봉수대),34.75361111111111,127.98277777777778
한려해상,상사바위,34.74888888888889,127.98027777777779
한려해상,제석봉,34.751666666666665,127.98138888888889
한려해상,장군암,34.75138888888889,127.98222222222222
한려해상,해수관음상 전망데크,34.751666666666665,127.98305555555555
한려해상,부소암 교량,34.75222222222222,127.97694444444444
한려해상,이태조기단,35.7525,127.98416666666667
한려해상,노루여전망대 하단 50m,34.708333333333336,128.44972222222222
한려해상,노루여전망대 ,34.70805555555556,128.45027777777776
한려해상,미인전망대,34.711111111111116,128.46055555555554
한려해상,등대섬전망대,34.623333333333335,128.55083333333334
한려해상,망태봉 하부전망대,34.62444444444444,128.55055555555558
한려해상,등대섬정상,34.61972222222222,128.54777777777778
한려해상,당금삼거리 상단 100m,34.64111111111111,128.57583333333332
한려해상,샛끝전망대,34.82638888888889,128.75472222222223
한려해상,마끝전망대,34.81527777777777,128.74666666666664
한려해상,마늘바위 전방 300m,34.77361111111111,128.62166666666667
한려해상,뫼바위전망대,34.76777777777777,128.62444444444446
설악산,권금성,38.275277777777774,128.81305555555556
설악산,1전망대,38.3275,128.79749999999999
설악산,2전망대,38.32833333333333,128.79666666666665
설악산,3전망대,38.328611111111115,128.79527777777778
설악산,무너미고개 전망대,38.23083333333334,128.77861111111113
설악산,희운각대피소 상향 100M,38.22527777777778,128.77972222222223
설악산,신선대,38.027499999999996,128.77166666666668
설악산,03-08~03-07,38.242222222222225,128.77055555555557
설악산,03-08~03-07,38.24277777777778,128.77027777777778
설악산,1275봉 하단부,38.25472222222222,128.7513888888889
설악산,03-01~마등령삼거리,38.265277777777776,128.74027777777778
